X,Y
2216,1736
2219,1701
2220,1640
2220,1969
2222,1962
2222,1598
2222,1967
2222,1972
2222,1960
2223,1712
2224,1991
2225,1977
2228,1676
2228,1734
2228,1935
2231,1965
2231,1970
2232,1972
2232,1927
2233,1609
2233,1654
2233,1951
2234,1596
2234,1995
2235,1975
2235,1989
2235,1633
2237,1727
2238,1983
2239,1977
2239,1618
2240,1990
2240,1675
2241,1988
2242,1630
2243,1711
2243,1985
2244,1561
2244,2000
2245,1977
2245,1611
2245,1994
2246,1724
2247,1662
2247,1682
2248,1724
2249,1992
2249,1727
2249,2007
2250,1706
2251,1990
2253,1988
2253,1683
2254,1994
2256,1719
2256,2008
2256,1997
2259,1971
2264,1698
2265,1993
2265,2007
2267,2018
2267,1685
2268,1703
2269,1984
2271,1708
2271,2026
2272,1981
2272,1593
2273,2033
2274,1766
2274,1601
2274,1673
2276,1614
2276,2013
2277,2014
2280,1996
2280,1695
2281,2000
2281,2007
2282,1989
2284,2029
2285,1652
2286,1625
2286,1771
2287,1730
2288,2013
2289,2034
2290,1683
2290,2025
2291,1675
2291,2027
2291,2016
2291,1702
2293,2009
2295,1993
2295,2041
2297,2033
2298,1728
2298,1808
2299,2053
2299,1995
2299,2030
2299,2065
2300,1674
2304,1681
2304,2006
2306,1763
2308,2028
2309,2016
2309,1637
2311,1732
2312,2053
2313,2031
2315,1650
2316,2013
2316,1704
2317,1787
2317,2033
2318,2043
2318,2056
2318,2037
2319,2041
2319,1715
2320,1805
2323,1768
2324,2017
2327,2057
2328,1655
2328,1694
2330,2037
2330,1794
2334,2076
2335,1648
2336,2017
2338,1731
2339,1679
2339,2034
2340,1779
2341,2068
2342,1799
2343,2029
2344,1663
2345,1717
2345,2071
2347,2089
2348,1857
2349,1638
2349,1772
2353,1782
2354,1866
2356,1731
2357,1775
2357,1749
2361,1747
2366,1730
2368,2053
2368,1738
2369,2092
2372,1789
2375,1824
2376,2087
2377,1786
2380,1798
2382,1798
2383,1682
2384,2096
2385,1736
2387,1665
2392,1806
2394,2115
2395,1793
2396,2095
2413,1775
2414,1728
2416,1729
2416,1763
2417,1743
2419,1804
2421,2076
2421,1807
2421,2090
2421,1715
2424,1819
2424,1732
2426,2106
2428,2117
2428,1944
2444,1742
2445,1867
2445,1809
2445,1854
2446,1838
2450,1783
2450,1802
2451,1839
2451,1839
2451,1871
2453,1923
2454,1979
2466,2145
2472,1894
2472,1930
2474,1808
2477,2006
2480,1872
2485,1837
2485,1874
2498,1906
2501,1816
2520,1964
2542,1948
2550,1875
2554,1870
2567,2066
2579,1975
2599,1958
